v1.3.0_Initiation:False-Batch:10-LR:0.0001-Loss:0-Opti:0-Mom:(0.85, 0.95)_
https://app.neptune.ai/joao.d.oliveira/computer-vision-runs/e/COM1-28
Epoch:    1, Batch:  340, Cur. Loss: 0.27269, Avg. Loss:  0.3283 val-loss: 0.273(MAE) 0.067(MAE-Smooth) 0.143(MSE)
Epoch:    2, Batch:  340, Cur. Loss: 0.22981, Avg. Loss: 0.26259 val-loss: 0.237(MAE) 0.055(MAE-Smooth) 0.114(MSE)
Epoch:    3, Batch:  340, Cur. Loss:  0.1963, Avg. Loss: 0.23042 val-loss: 0.205(MAE) 0.043(MAE-Smooth) 0.09 (MSE)
Epoch:    4, Batch:  340, Cur. Loss: 0.19655, Avg. Loss: 0.20442 val-loss: 0.181(MAE) 0.035(MAE-Smooth) 0.072(MSE)
Epoch:    5, Batch:  340, Cur. Loss: 0.12549, Avg. Loss: 0.18395 val-loss: 0.185(MAE) 0.038(MAE-Smooth) 0.086(MSE)
Epoch:    6, Batch:  340, Cur. Loss: 0.19878, Avg. Loss: 0.17125 val-loss: 0.171(MAE) 0.033(MAE-Smooth) 0.068(MSE)
Epoch:    7, Batch:  340, Cur. Loss: 0.16182, Avg. Loss: 0.16161 val-loss: 0.143(MAE) 0.024(MAE-Smooth) 0.049(MSE)
Epoch:    8, Batch:  340, Cur. Loss: 0.13816, Avg. Loss: 0.15434 val-loss: 0.147(MAE) 0.026(MAE-Smooth) 0.055(MSE)
Epoch:    9, Batch:  340, Cur. Loss: 0.15951, Avg. Loss: 0.14855 val-loss: 0.158(MAE) 0.028(MAE-Smooth) 0.059(MSE)
Epoch:   10, Batch:  340, Cur. Loss: 0.16734, Avg. Loss: 0.14247 val-loss: 0.147(MAE) 0.023(MAE-Smooth) 0.046(MSE)
Epoch:   11, Batch:  340, Cur. Loss: 0.10407, Avg. Loss: 0.13786 val-loss: 0.129(MAE) 0.02 (MAE-Smooth) 0.042(MSE)
Epoch:   12, Batch:  340, Cur. Loss: 0.13922, Avg. Loss:  0.1329 val-loss: 0.128(MAE) 0.022(MAE-Smooth) 0.056(MSE)
Epoch:   13, Batch:  340, Cur. Loss: 0.16031, Avg. Loss: 0.12638 val-loss: 0.122(MAE) 0.021(MAE-Smooth) 0.057(MSE)
Epoch:   14, Batch:  340, Cur. Loss: 0.09227, Avg. Loss: 0.12244 val-loss: 0.116(MAE) 0.018(MAE-Smooth) 0.04 (MSE)
Epoch:   15, Batch:  340, Cur. Loss: 0.10673, Avg. Loss: 0.12071 val-loss: 0.12 (MAE) 0.021(MAE-Smooth) 0.048(MSE)
Epoch:   16, Batch:  340, Cur. Loss: 0.08009, Avg. Loss: 0.11635 val-loss: 0.117(MAE) 0.021(MAE-Smooth) 0.049(MSE)
Epoch:   17, Batch:  340, Cur. Loss: 0.11456, Avg. Loss: 0.11255 val-loss: 0.108(MAE) 0.016(MAE-Smooth) 0.034(MSE)
Epoch:   18, Batch:  340, Cur. Loss: 0.13167, Avg. Loss: 0.10949 val-loss: 0.11 (MAE) 0.017(MAE-Smooth) 0.04 (MSE)
Epoch:   19, Batch:  340, Cur. Loss: 0.13742, Avg. Loss: 0.10903 val-loss: 0.104(MAE) 0.016(MAE-Smooth) 0.034(MSE)
Epoch:   20, Batch:  340, Cur. Loss: 0.06439, Avg. Loss:  0.1051 val-loss: 0.1  (MAE) 0.014(MAE-Smooth) 0.032(MSE)
Epoch:   21, Batch:  340, Cur. Loss: 0.11519, Avg. Loss: 0.10185 val-loss: 0.099(MAE) 0.015(MAE-Smooth) 0.036(MSE)
