v1.0.0_Initiation:False-Batch:10-LR:0.0001-Loss:0-Opti:0-Mom:(0.85, 0.95)_
https://app.neptune.ai/joao.d.oliveira/computer-vision-runs/e/COM1-35
Epoch:    1, Batch:  340, Cur. Loss: 0.35057, Avg. Loss: 0.33146 val-loss: 0.37 (MAE) 0.112(MAE-Smooth) 0.231(MSE)
Epoch:    2, Batch:  340, Cur. Loss: 0.21978, Avg. Loss:  0.2662 val-loss: 0.229(MAE) 0.048(MAE-Smooth) 0.099(MSE)
Epoch:    3, Batch:  340, Cur. Loss: 0.24076, Avg. Loss: 0.22696 val-loss: 0.193(MAE) 0.038(MAE-Smooth) 0.081(MSE)
Epoch:    4, Batch:  340, Cur. Loss: 0.18015, Avg. Loss: 0.18048 val-loss: 0.161(MAE) 0.028(MAE-Smooth) 0.059(MSE)
Epoch:    5, Batch:  340, Cur. Loss:   0.132, Avg. Loss: 0.15751 val-loss: 0.147(MAE) 0.023(MAE-Smooth) 0.047(MSE)
Epoch:    6, Batch:  340, Cur. Loss: 0.12003, Avg. Loss: 0.14256 val-loss: 0.123(MAE) 0.021(MAE-Smooth) 0.047(MSE)
Epoch:    7, Batch:  340, Cur. Loss: 0.11553, Avg. Loss: 0.13208 val-loss: 0.11 (MAE) 0.016(MAE-Smooth) 0.034(MSE)
Epoch:    8, Batch:  340, Cur. Loss: 0.08817, Avg. Loss:  0.1183 val-loss: 0.116(MAE) 0.017(MAE-Smooth) 0.042(MSE)
Epoch:    9, Batch:  340, Cur. Loss: 0.10491, Avg. Loss: 0.10796 val-loss: 0.102(MAE) 0.014(MAE-Smooth) 0.033(MSE)
Epoch:   10, Batch:  340, Cur. Loss: 0.16197, Avg. Loss: 0.10357 val-loss: 0.095(MAE) 0.014(MAE-Smooth) 0.031(MSE)
Epoch:   11, Batch:  340, Cur. Loss: 0.07522, Avg. Loss: 0.09794 val-loss: 0.093(MAE) 0.014(MAE-Smooth) 0.034(MSE)
Epoch:   12, Batch:  340, Cur. Loss: 0.07281, Avg. Loss: 0.09016 val-loss: 0.089(MAE) 0.011(MAE-Smooth) 0.023(MSE)
Epoch:   13, Batch:  340, Cur. Loss: 0.11102, Avg. Loss: 0.08689 val-loss: 0.089(MAE) 0.013(MAE-Smooth) 0.036(MSE)
Epoch:   14, Batch:  340, Cur. Loss: 0.06748, Avg. Loss: 0.08047 val-loss: 0.097(MAE) 0.011(MAE-Smooth) 0.025(MSE)
Epoch:   15, Batch:  340, Cur. Loss: 0.06259, Avg. Loss: 0.08086 val-loss: 0.073(MAE) 0.008(MAE-Smooth) 0.017(MSE)
Epoch:   16, Batch:  340, Cur. Loss: 0.08289, Avg. Loss: 0.07615 val-loss: 0.078(MAE) 0.011(MAE-Smooth) 0.028(MSE)
Epoch:   17, Batch:  340, Cur. Loss: 0.09259, Avg. Loss: 0.07248 val-loss: 0.08 (MAE) 0.009(MAE-Smooth) 0.019(MSE)
Epoch:   18, Batch:  340, Cur. Loss: 0.04803, Avg. Loss: 0.07085 val-loss: 0.064(MAE) 0.005(MAE-Smooth) 0.01 (MSE)
Epoch:   19, Batch:  340, Cur. Loss: 0.07537, Avg. Loss: 0.06812 val-loss: 0.078(MAE) 0.01 (MAE-Smooth) 0.024(MSE)
Epoch:   20, Batch:  340, Cur. Loss: 0.06817, Avg. Loss: 0.06788 val-loss: 0.067(MAE) 0.007(MAE-Smooth) 0.015(MSE)
Epoch:   21, Batch:  340, Cur. Loss: 0.04912, Avg. Loss: 0.06588 val-loss: 0.064(MAE) 0.004(MAE-Smooth) 0.009(MSE)
Epoch:   22, Batch:  340, Cur. Loss:   0.051, Avg. Loss:  0.0646 val-loss: 0.069(MAE) 0.008(MAE-Smooth) 0.028(MSE)
Epoch:   23, Batch:  340, Cur. Loss:  0.0603, Avg. Loss: 0.06293 val-loss: 0.061(MAE) 0.006(MAE-Smooth) 0.014(MSE)
Epoch:   24, Batch:  340, Cur. Loss: 0.08938, Avg. Loss: 0.06087 val-loss: 0.06 (MAE) 0.005(MAE-Smooth) 0.01 (MSE)
Epoch:   25, Batch:  340, Cur. Loss: 0.05305, Avg. Loss: 0.06226 val-loss: 0.056(MAE) 0.004(MAE-Smooth) 0.008(MSE)
Epoch:   26, Batch:  340, Cur. Loss: 0.04428, Avg. Loss: 0.05708 val-loss: 0.057(MAE) 0.004(MAE-Smooth) 0.008(MSE)
Epoch:   27, Batch:  340, Cur. Loss: 0.04873, Avg. Loss: 0.05703 val-loss: 0.06 (MAE) 0.004(MAE-Smooth) 0.009(MSE)
Epoch:   28, Batch:  340, Cur. Loss: 0.04059, Avg. Loss: 0.05438 val-loss: 0.054(MAE) 0.003(MAE-Smooth) 0.007(MSE)
Epoch:   29, Batch:  340, Cur. Loss: 0.04357, Avg. Loss: 0.05516 val-loss: 0.054(MAE) 0.004(MAE-Smooth) 0.007(MSE)
Epoch:   30, Batch:  340, Cur. Loss:  0.0497, Avg. Loss: 0.05558 val-loss: 0.061(MAE) 0.005(MAE-Smooth) 0.013(MSE)
Epoch:   31, Batch:  340, Cur. Loss: 0.03976, Avg. Loss: 0.05309 val-loss: 0.054(MAE) 0.003(MAE-Smooth) 0.006(MSE)
Epoch:   32, Batch:  340, Cur. Loss:  0.0463, Avg. Loss:  0.0525 val-loss: 0.052(MAE) 0.005(MAE-Smooth) 0.015(MSE)
Epoch:   33, Batch:  340, Cur. Loss: 0.06024, Avg. Loss: 0.05173 val-loss: 0.056(MAE) 0.005(MAE-Smooth) 0.01 (MSE)
Epoch:   34, Batch:  340, Cur. Loss:  0.0412, Avg. Loss: 0.05157 val-loss: 0.057(MAE) 0.006(MAE-Smooth) 0.02 (MSE)
Epoch:   35, Batch:  340, Cur. Loss: 0.04483, Avg. Loss: 0.05105 val-loss: 0.055(MAE) 0.006(MAE-Smooth) 0.018(MSE)
Epoch:   36, Batch:  340, Cur. Loss: 0.03837, Avg. Loss:  0.0499 val-loss: 0.053(MAE) 0.005(MAE-Smooth) 0.013(MSE)
Epoch:   37, Batch:  340, Cur. Loss: 0.04053, Avg. Loss: 0.04962 val-loss: 0.055(MAE) 0.004(MAE-Smooth) 0.009(MSE)
Epoch:   38, Batch:  340, Cur. Loss: 0.03236, Avg. Loss: 0.04807 val-loss: 0.053(MAE) 0.004(MAE-Smooth) 0.01 (MSE)
Epoch:   39, Batch:  340, Cur. Loss: 0.04082, Avg. Loss: 0.04599 val-loss: 0.049(MAE) 0.003(MAE-Smooth) 0.007(MSE)
Epoch:   40, Batch:  340, Cur. Loss: 0.04265, Avg. Loss: 0.04762 val-loss: 0.05 (MAE) 0.003(MAE-Smooth) 0.006(MSE)
Epoch:   41, Batch:  340, Cur. Loss: 0.04411, Avg. Loss:  0.0478 val-loss: 0.05 (MAE) 0.005(MAE-Smooth) 0.013(MSE)
Epoch:   42, Batch:  340, Cur. Loss: 0.06131, Avg. Loss: 0.04539 val-loss: 0.053(MAE) 0.006(MAE-Smooth) 0.012(MSE)
Epoch:   43, Batch:  340, Cur. Loss: 0.03626, Avg. Loss: 0.04471 val-loss: 0.05 (MAE) 0.004(MAE-Smooth) 0.007(MSE)
Epoch:   44, Batch:  340, Cur. Loss: 0.05433, Avg. Loss: 0.04527 val-loss: 0.05 (MAE) 0.005(MAE-Smooth) 0.012(MSE)
Epoch:   45, Batch:  340, Cur. Loss: 0.03633, Avg. Loss: 0.04682 val-loss: 0.049(MAE) 0.003(MAE-Smooth) 0.006(MSE)
Epoch:   46, Batch:  340, Cur. Loss: 0.04375, Avg. Loss: 0.04283 val-loss: 0.05 (MAE) 0.004(MAE-Smooth) 0.008(MSE)
Epoch:   47, Batch:  340, Cur. Loss:  0.0353, Avg. Loss: 0.04374 val-loss: 0.05 (MAE) 0.005(MAE-Smooth) 0.018(MSE)
Epoch:   48, Batch:  340, Cur. Loss: 0.03763, Avg. Loss: 0.04465 val-loss: 0.05 (MAE) 0.007(MAE-Smooth) 0.029(MSE)
Epoch:   49, Batch:  340, Cur. Loss: 0.03238, Avg. Loss: 0.04365 val-loss: 0.048(MAE) 0.003(MAE-Smooth) 0.006(MSE)
Epoch:   50, Batch:  340, Cur. Loss: 0.03407, Avg. Loss: 0.04225 val-loss: 0.052(MAE) 0.006(MAE-Smooth) 0.02 (MSE)
Epoch:   51, Batch:  340, Cur. Loss: 0.03873, Avg. Loss: 0.04218 val-loss: 0.048(MAE) 0.005(MAE-Smooth) 0.018(MSE)
Epoch:   52, Batch:  340, Cur. Loss: 0.04556, Avg. Loss: 0.04259 val-loss: 0.049(MAE) 0.005(MAE-Smooth) 0.014(MSE)
Epoch:   53, Batch:  340, Cur. Loss:  0.0361, Avg. Loss: 0.04179 val-loss: 0.047(MAE) 0.003(MAE-Smooth) 0.005(MSE)
Epoch:   54, Batch:  340, Cur. Loss: 0.04679, Avg. Loss: 0.04113 val-loss: 0.047(MAE) 0.002(MAE-Smooth) 0.004(MSE)
Epoch:   55, Batch:  340, Cur. Loss: 0.03394, Avg. Loss: 0.04184 val-loss: 0.048(MAE) 0.005(MAE-Smooth) 0.011(MSE)
Epoch:   56, Batch:  340, Cur. Loss: 0.03246, Avg. Loss: 0.03948 val-loss: 0.048(MAE) 0.004(MAE-Smooth) 0.013(MSE)
Epoch:   57, Batch:  340, Cur. Loss: 0.04298, Avg. Loss: 0.04048 val-loss: 0.045(MAE) 0.002(MAE-Smooth) 0.004(MSE)
Epoch:   58, Batch:  340, Cur. Loss: 0.03589, Avg. Loss:   0.041 val-loss: 0.044(MAE) 0.002(MAE-Smooth) 0.005(MSE)
Epoch:   59, Batch:  340, Cur. Loss: 0.03435, Avg. Loss: 0.04007 val-loss: 0.045(MAE) 0.003(MAE-Smooth) 0.01 (MSE)
Epoch:   60, Batch:  340, Cur. Loss: 0.03607, Avg. Loss: 0.03856 val-loss: 0.05 (MAE) 0.004(MAE-Smooth) 0.01 (MSE)
Epoch:   61, Batch:  340, Cur. Loss: 0.03326, Avg. Loss:  0.0395 val-loss: 0.045(MAE) 0.004(MAE-Smooth) 0.011(MSE)
Epoch:   62, Batch:  340, Cur. Loss: 0.04116, Avg. Loss: 0.03933 val-loss: 0.043(MAE) 0.002(MAE-Smooth) 0.004(MSE)
Epoch:   63, Batch:  340, Cur. Loss: 0.03822, Avg. Loss: 0.03874 val-loss: 0.044(MAE) 0.003(MAE-Smooth) 0.007(MSE)
Epoch:   64, Batch:  340, Cur. Loss: 0.03602, Avg. Loss: 0.03865 val-loss: 0.048(MAE) 0.006(MAE-Smooth) 0.02 (MSE)
Epoch:   65, Batch:  340, Cur. Loss: 0.03461, Avg. Loss: 0.03894 val-loss: 0.046(MAE) 0.006(MAE-Smooth) 0.023(MSE)
Epoch:   66, Batch:  340, Cur. Loss: 0.03711, Avg. Loss: 0.03721 val-loss: 0.043(MAE) 0.002(MAE-Smooth) 0.004(MSE)
Epoch:   67, Batch:  340, Cur. Loss:  0.0336, Avg. Loss: 0.03716 val-loss: 0.045(MAE) 0.003(MAE-Smooth) 0.007(MSE)
Epoch:   68, Batch:  340, Cur. Loss: 0.03373, Avg. Loss: 0.03773 val-loss: 0.042(MAE) 0.002(MAE-Smooth) 0.004(MSE)
Epoch:   69, Batch:  340, Cur. Loss:  0.0323, Avg. Loss: 0.03683 val-loss: 0.049(MAE) 0.003(MAE-Smooth) 0.008(MSE)
Epoch:   70, Batch:  340, Cur. Loss:  0.0311, Avg. Loss: 0.03583 val-loss: 0.044(MAE) 0.003(MAE-Smooth) 0.007(MSE)
Epoch:   71, Batch:  340, Cur. Loss:  0.0372, Avg. Loss: 0.03645 val-loss: 0.045(MAE) 0.003(MAE-Smooth) 0.007(MSE)
Epoch:   72, Batch:  340, Cur. Loss:   0.036, Avg. Loss: 0.03732 val-loss: 0.048(MAE) 0.004(MAE-Smooth) 0.009(MSE)
Epoch:   73, Batch:  340, Cur. Loss: 0.03162, Avg. Loss: 0.03792 val-loss: 0.046(MAE) 0.004(MAE-Smooth) 0.011(MSE)
Epoch:   74, Batch:  340, Cur. Loss:  0.0413, Avg. Loss: 0.03781 val-loss: 0.048(MAE) 0.006(MAE-Smooth) 0.027(MSE)
Epoch:   75, Batch:  340, Cur. Loss: 0.02897, Avg. Loss: 0.03807 val-loss: 0.042(MAE) 0.002(MAE-Smooth) 0.003(MSE)
Epoch:   76, Batch:  340, Cur. Loss: 0.02833, Avg. Loss:  0.0363 val-loss: 0.045(MAE) 0.003(MAE-Smooth) 0.005(MSE)
Epoch:   77, Batch:  340, Cur. Loss: 0.02878, Avg. Loss: 0.03627 val-loss: 0.045(MAE) 0.003(MAE-Smooth) 0.007(MSE)
Epoch:   78, Batch:  340, Cur. Loss: 0.03361, Avg. Loss: 0.03514 val-loss: 0.046(MAE) 0.004(MAE-Smooth) 0.01 (MSE)
Epoch:   79, Batch:  340, Cur. Loss: 0.03346, Avg. Loss: 0.03398 val-loss: 0.046(MAE) 0.003(MAE-Smooth) 0.006(MSE)
Epoch:   80, Batch:  340, Cur. Loss: 0.02457, Avg. Loss: 0.03461 val-loss: 0.043(MAE) 0.003(MAE-Smooth) 0.007(MSE)
Epoch:   81, Batch:  340, Cur. Loss:  0.0388, Avg. Loss: 0.03578 val-loss: 0.041(MAE) 0.002(MAE-Smooth) 0.003(MSE)
Epoch:   82, Batch:  340, Cur. Loss: 0.04024, Avg. Loss:  0.0341 val-loss: 0.042(MAE) 0.002(MAE-Smooth) 0.004(MSE)
Epoch:   83, Batch:  340, Cur. Loss: 0.03576, Avg. Loss: 0.03504 val-loss: 0.043(MAE) 0.002(MAE-Smooth) 0.004(MSE)
Epoch:   84, Batch:  340, Cur. Loss: 0.02555, Avg. Loss: 0.03502 val-loss: 0.045(MAE) 0.004(MAE-Smooth) 0.009(MSE)
Epoch:   85, Batch:  340, Cur. Loss: 0.02951, Avg. Loss: 0.03384 val-loss: 0.044(MAE) 0.003(MAE-Smooth) 0.005(MSE)
Epoch:   86, Batch:  340, Cur. Loss: 0.03565, Avg. Loss: 0.03563 val-loss: 0.042(MAE) 0.002(MAE-Smooth) 0.004(MSE)
Epoch:   87, Batch:  340, Cur. Loss: 0.04422, Avg. Loss:   0.034 val-loss: 0.045(MAE) 0.004(MAE-Smooth) 0.016(MSE)
Epoch:   88, Batch:  340, Cur. Loss: 0.03002, Avg. Loss: 0.03282 val-loss: 0.044(MAE) 0.004(MAE-Smooth) 0.009(MSE)
Epoch:   89, Batch:  340, Cur. Loss: 0.03141, Avg. Loss: 0.03313 val-loss: 0.042(MAE) 0.002(MAE-Smooth) 0.004(MSE)
Epoch:   90, Batch:  340, Cur. Loss: 0.03028, Avg. Loss: 0.03453 val-loss: 0.042(MAE) 0.003(MAE-Smooth) 0.006(MSE)
Epoch:   91, Batch:  340, Cur. Loss: 0.02903, Avg. Loss: 0.03445 val-loss: 0.043(MAE) 0.003(MAE-Smooth) 0.005(MSE)
Epoch:   92, Batch:  340, Cur. Loss: 0.03219, Avg. Loss: 0.03351 val-loss: 0.043(MAE) 0.004(MAE-Smooth) 0.009(MSE)
Epoch:   93, Batch:  340, Cur. Loss: 0.02982, Avg. Loss: 0.03292 val-loss: 0.042(MAE) 0.002(MAE-Smooth) 0.004(MSE)
Epoch:   94, Batch:  340, Cur. Loss: 0.09209, Avg. Loss: 0.03431 val-loss: 0.044(MAE) 0.005(MAE-Smooth) 0.016(MSE)
Epoch:   95, Batch:  340, Cur. Loss: 0.03045, Avg. Loss: 0.03255 val-loss: 0.042(MAE) 0.003(MAE-Smooth) 0.005(MSE)
Epoch:   96, Batch:  340, Cur. Loss: 0.02944, Avg. Loss:  0.0335 val-loss: 0.043(MAE) 0.003(MAE-Smooth) 0.006(MSE)
Epoch:   97, Batch:  340, Cur. Loss: 0.08196, Avg. Loss: 0.03196 val-loss: 0.043(MAE) 0.002(MAE-Smooth) 0.004(MSE)
Epoch:   98, Batch:  340, Cur. Loss: 0.03123, Avg. Loss: 0.03253 val-loss: 0.047(MAE) 0.005(MAE-Smooth) 0.015(MSE)
Epoch:   99, Batch:  340, Cur. Loss: 0.03092, Avg. Loss: 0.03331 val-loss: 0.043(MAE) 0.002(MAE-Smooth) 0.005(MSE)
Epoch:  100, Batch:  340, Cur. Loss: 0.02581, Avg. Loss: 0.03241 val-loss: 0.042(MAE) 0.003(MAE-Smooth) 0.005(MSE)
EARLY STOPPING at 99 epoch, stopped learning in the past 20, took 1931.0775141716003 seg
Shutting down background jobs, please wait a moment...
Done!
Waiting for the remaining 417 operations to synchronize with Neptune. Do not kill this process.
Still waiting for the remaining 403 operations (3.36% done). Please wait.
All 417 operations synced, thanks for waiting!
