v1.0.0_Initiation:True-Batch:10-LR:0.0001-Loss:0-Opti:0-Mom:(0.85, 0.95)_
https://app.neptune.ai/joao.d.oliveira/computer-vision-runs/e/COM1-34
Epoch:    1, Batch:  340, Cur. Loss: 0.30741, Avg. Loss:  0.3566 val-loss: 0.322(MAE) 0.091(MAE-Smooth) 0.198(MSE)
Epoch:    2, Batch:  340, Cur. Loss: 0.16589, Avg. Loss: 0.25246 val-loss: 0.198(MAE) 0.041(MAE-Smooth) 0.09 (MSE)
Epoch:    3, Batch:  340, Cur. Loss: 0.15491, Avg. Loss: 0.18029 val-loss: 0.155(MAE) 0.029(MAE-Smooth) 0.06 (MSE)
Epoch:    4, Batch:  340, Cur. Loss: 0.15435, Avg. Loss: 0.15443 val-loss: 0.143(MAE) 0.024(MAE-Smooth) 0.053(MSE)
Epoch:    5, Batch:  340, Cur. Loss: 0.10548, Avg. Loss: 0.13692 val-loss: 0.124(MAE) 0.021(MAE-Smooth) 0.044(MSE)
Epoch:    6, Batch:  340, Cur. Loss: 0.10733, Avg. Loss: 0.12382 val-loss: 0.116(MAE) 0.019(MAE-Smooth) 0.04 (MSE)
Epoch:    7, Batch:  340, Cur. Loss: 0.14326, Avg. Loss: 0.11351 val-loss: 0.113(MAE) 0.018(MAE-Smooth) 0.047(MSE)
Epoch:    8, Batch:  340, Cur. Loss: 0.08272, Avg. Loss: 0.10218 val-loss: 0.091(MAE) 0.011(MAE-Smooth) 0.025(MSE)
Epoch:    9, Batch:  340, Cur. Loss: 0.08931, Avg. Loss:  0.0968 val-loss: 0.084(MAE) 0.009(MAE-Smooth) 0.018(MSE)
Epoch:   10, Batch:  340, Cur. Loss: 0.11589, Avg. Loss: 0.09004 val-loss: 0.081(MAE) 0.009(MAE-Smooth) 0.018(MSE)
Epoch:   11, Batch:  340, Cur. Loss: 0.09564, Avg. Loss: 0.08418 val-loss: 0.088(MAE) 0.011(MAE-Smooth) 0.024(MSE)
Epoch:   12, Batch:  340, Cur. Loss: 0.06002, Avg. Loss: 0.08039 val-loss: 0.077(MAE) 0.01 (MAE-Smooth) 0.025(MSE)
Epoch:   13, Batch:  340, Cur. Loss: 0.06071, Avg. Loss: 0.07825 val-loss: 0.074(MAE) 0.01 (MAE-Smooth) 0.027(MSE)
Epoch:   14, Batch:  340, Cur. Loss: 0.06743, Avg. Loss: 0.07222 val-loss: 0.076(MAE) 0.009(MAE-Smooth) 0.021(MSE)
