v1.0.0_Initiation:True-Batch:100-LR:0.0001-Loss:0-Opti:0-Mom:(0.85, 0.95)_
https://app.neptune.ai/joao.d.oliveira/computer-vision-runs/e/COM1-37
Epoch:    1, Batch:   30, Cur. Loss: 0.37296, Avg. Loss: 0.40887 val-loss: 0.512(MAE) 0.199(MAE-Smooth) 0.421(MSE)
Epoch:    2, Batch:   30, Cur. Loss: 0.31043, Avg. Loss: 0.35956 val-loss: 0.309(MAE) 0.084(MAE-Smooth) 0.181(MSE)
Epoch:    3, Batch:   30, Cur. Loss: 0.33168, Avg. Loss: 0.31634 val-loss: 0.294(MAE) 0.077(MAE-Smooth) 0.16 (MSE)
Epoch:    4, Batch:   30, Cur. Loss: 0.28662, Avg. Loss: 0.28993 val-loss: 0.266(MAE) 0.066(MAE-Smooth) 0.141(MSE)
Epoch:    5, Batch:   30, Cur. Loss: 0.27499, Avg. Loss: 0.26699 val-loss: 0.246(MAE) 0.058(MAE-Smooth) 0.118(MSE)
Epoch:    6, Batch:   30, Cur. Loss: 0.21796, Avg. Loss: 0.25074 val-loss: 0.224(MAE) 0.051(MAE-Smooth) 0.114(MSE)
Epoch:    7, Batch:   30, Cur. Loss: 0.21785, Avg. Loss: 0.23237 val-loss: 0.197(MAE) 0.038(MAE-Smooth) 0.078(MSE)
Epoch:    8, Batch:   30, Cur. Loss: 0.18704, Avg. Loss: 0.20819 val-loss: 0.187(MAE) 0.039(MAE-Smooth) 0.082(MSE)
Epoch:    9, Batch:   30, Cur. Loss: 0.17184, Avg. Loss: 0.19093 val-loss: 0.173(MAE) 0.035(MAE-Smooth) 0.081(MSE)
Epoch:   10, Batch:   30, Cur. Loss: 0.17763, Avg. Loss: 0.17733 val-loss: 0.16 (MAE) 0.028(MAE-Smooth) 0.057(MSE)
Epoch:   11, Batch:   30, Cur. Loss: 0.17982, Avg. Loss: 0.17037 val-loss: 0.164(MAE) 0.032(MAE-Smooth) 0.068(MSE)
Epoch:   12, Batch:   30, Cur. Loss: 0.13291, Avg. Loss: 0.16048 val-loss: 0.149(MAE) 0.023(MAE-Smooth) 0.048(MSE)
Epoch:   13, Batch:   30, Cur. Loss: 0.16339, Avg. Loss: 0.15905 val-loss: 0.146(MAE) 0.026(MAE-Smooth) 0.053(MSE)
Epoch:   14, Batch:   30, Cur. Loss: 0.13658, Avg. Loss: 0.14857 val-loss: 0.136(MAE) 0.023(MAE-Smooth) 0.06 (MSE)
Epoch:   15, Batch:   30, Cur. Loss: 0.14386, Avg. Loss: 0.14698 val-loss: 0.136(MAE) 0.022(MAE-Smooth) 0.046(MSE)
Epoch:   16, Batch:   30, Cur. Loss: 0.15426, Avg. Loss: 0.14478 val-loss: 0.125(MAE) 0.021(MAE-Smooth) 0.051(MSE)
Epoch:   17, Batch:   30, Cur. Loss: 0.14867, Avg. Loss: 0.13557 val-loss: 0.124(MAE) 0.02 (MAE-Smooth) 0.041(MSE)
Epoch:   18, Batch:   30, Cur. Loss:  0.1171, Avg. Loss: 0.13219 val-loss: 0.124(MAE) 0.021(MAE-Smooth) 0.045(MSE)
Epoch:   19, Batch:   30, Cur. Loss: 0.13701, Avg. Loss: 0.12796 val-loss: 0.122(MAE) 0.02 (MAE-Smooth) 0.053(MSE)
Epoch:   20, Batch:   30, Cur. Loss: 0.10567, Avg. Loss: 0.12521 val-loss: 0.119(MAE) 0.021(MAE-Smooth) 0.054(MSE)
