v1.1.0_Initiation:True-Batch:100-LR:0.0001-Loss:0-Opti:0-Mom:(0.85, 0.95)_
https://app.neptune.ai/joao.d.oliveira/computer-vision-runs/e/COM1-38
Epoch:    1, Batch:   30, Cur. Loss:  0.3916, Avg. Loss: 0.40417 val-loss: 0.513(MAE) 0.201(MAE-Smooth) 0.434(MSE)
Epoch:    2, Batch:   30, Cur. Loss: 0.31063, Avg. Loss: 0.34924 val-loss: 0.3  (MAE) 0.079(MAE-Smooth) 0.161(MSE)
Epoch:    3, Batch:   30, Cur. Loss: 0.29306, Avg. Loss: 0.29416 val-loss: 0.249(MAE) 0.057(MAE-Smooth) 0.116(MSE)
Epoch:    4, Batch:   30, Cur. Loss: 0.22281, Avg. Loss: 0.24882 val-loss: 0.214(MAE) 0.046(MAE-Smooth) 0.095(MSE)
Epoch:    5, Batch:   30, Cur. Loss: 0.18587, Avg. Loss: 0.21056 val-loss: 0.192(MAE) 0.039(MAE-Smooth) 0.082(MSE)
Epoch:    6, Batch:   30, Cur. Loss: 0.16565, Avg. Loss: 0.18611 val-loss: 0.168(MAE) 0.033(MAE-Smooth) 0.072(MSE)
Epoch:    7, Batch:   30, Cur. Loss: 0.16659, Avg. Loss: 0.16824 val-loss: 0.145(MAE) 0.024(MAE-Smooth) 0.05 (MSE)
Epoch:    8, Batch:   30, Cur. Loss:  0.1871, Avg. Loss: 0.15743 val-loss: 0.139(MAE) 0.023(MAE-Smooth) 0.051(MSE)
Epoch:    9, Batch:   30, Cur. Loss: 0.13476, Avg. Loss: 0.14707 val-loss: 0.13 (MAE) 0.021(MAE-Smooth) 0.045(MSE)
Epoch:   10, Batch:   30, Cur. Loss: 0.13148, Avg. Loss: 0.13806 val-loss: 0.126(MAE) 0.02 (MAE-Smooth) 0.041(MSE)
Epoch:   11, Batch:   30, Cur. Loss: 0.11976, Avg. Loss: 0.12917 val-loss: 0.119(MAE) 0.021(MAE-Smooth) 0.05 (MSE)
Epoch:   12, Batch:   30, Cur. Loss: 0.12806, Avg. Loss: 0.12112 val-loss: 0.114(MAE) 0.016(MAE-Smooth) 0.035(MSE)
Epoch:   13, Batch:   30, Cur. Loss: 0.11655, Avg. Loss: 0.11485 val-loss: 0.11 (MAE) 0.018(MAE-Smooth) 0.048(MSE)
