v1.3.0_Initiation:True-Batch:10-LR:0.0001-Loss:0-Opti:0-Mom:(0.85, 0.95)_
https://app.neptune.ai/joao.d.oliveira/computer-vision-runs/e/COM1-29
Epoch:    1, Batch:  340, Cur. Loss: 0.25066, Avg. Loss: 0.35432 val-loss: 0.283(MAE) 0.072(MAE-Smooth) 0.153(MSE)
Epoch:    2, Batch:  340, Cur. Loss: 0.28014, Avg. Loss:  0.2641 val-loss: 0.23 (MAE) 0.053(MAE-Smooth) 0.114(MSE)
Epoch:    3, Batch:  340, Cur. Loss: 0.17704, Avg. Loss: 0.22269 val-loss: 0.193(MAE) 0.041(MAE-Smooth) 0.088(MSE)
Epoch:    4, Batch:  340, Cur. Loss: 0.24448, Avg. Loss:  0.1947 val-loss: 0.165(MAE) 0.03 (MAE-Smooth) 0.063(MSE)
Epoch:    5, Batch:  340, Cur. Loss: 0.13975, Avg. Loss: 0.17787 val-loss: 0.16 (MAE) 0.028(MAE-Smooth) 0.058(MSE)
Epoch:    6, Batch:  340, Cur. Loss: 0.24491, Avg. Loss: 0.16604 val-loss: 0.148(MAE) 0.024(MAE-Smooth) 0.049(MSE)
Epoch:    7, Batch:  340, Cur. Loss: 0.11222, Avg. Loss: 0.15711 val-loss: 0.158(MAE) 0.029(MAE-Smooth) 0.06 (MSE)
Epoch:    8, Batch:  340, Cur. Loss: 0.19069, Avg. Loss: 0.15011 val-loss: 0.136(MAE) 0.023(MAE-Smooth) 0.05 (MSE)
Epoch:    9, Batch:  340, Cur. Loss:  0.1482, Avg. Loss: 0.13873 val-loss: 0.128(MAE) 0.021(MAE-Smooth) 0.042(MSE)
Epoch:   10, Batch:  340, Cur. Loss: 0.10317, Avg. Loss: 0.13501 val-loss: 0.127(MAE) 0.02 (MAE-Smooth) 0.042(MSE)
Epoch:   11, Batch:  340, Cur. Loss: 0.09382, Avg. Loss: 0.13476 val-loss: 0.118(MAE) 0.017(MAE-Smooth) 0.038(MSE)
Epoch:   12, Batch:  340, Cur. Loss: 0.13971, Avg. Loss: 0.13013 val-loss: 0.125(MAE) 0.02 (MAE-Smooth) 0.043(MSE)
Epoch:   13, Batch:  340, Cur. Loss: 0.10877, Avg. Loss: 0.12454 val-loss: 0.119(MAE) 0.02 (MAE-Smooth) 0.045(MSE)
Epoch:   14, Batch:  340, Cur. Loss:  0.1183, Avg. Loss: 0.12201 val-loss: 0.113(MAE) 0.016(MAE-Smooth) 0.035(MSE)
Epoch:   15, Batch:  340, Cur. Loss: 0.09796, Avg. Loss: 0.11676 val-loss: 0.114(MAE) 0.017(MAE-Smooth) 0.035(MSE)
Epoch:   16, Batch:  340, Cur. Loss: 0.09855, Avg. Loss: 0.11439 val-loss: 0.109(MAE) 0.015(MAE-Smooth) 0.032(MSE)
Epoch:   17, Batch:  340, Cur. Loss:  0.1145, Avg. Loss: 0.11081 val-loss: 0.106(MAE) 0.015(MAE-Smooth) 0.034(MSE)
Epoch:   18, Batch:  340, Cur. Loss: 0.11841, Avg. Loss:  0.1106 val-loss: 0.102(MAE) 0.016(MAE-Smooth) 0.04 (MSE)
Epoch:   19, Batch:  340, Cur. Loss: 0.10253, Avg. Loss: 0.10533 val-loss: 0.102(MAE) 0.014(MAE-Smooth) 0.03 (MSE)
Epoch:   20, Batch:  340, Cur. Loss: 0.11469, Avg. Loss: 0.10644 val-loss: 0.099(MAE) 0.012(MAE-Smooth) 0.024(MSE)
Epoch:   21, Batch:  340, Cur. Loss: 0.07675, Avg. Loss: 0.10351 val-loss: 0.098(MAE) 0.015(MAE-Smooth) 0.044(MSE)
Epoch:   22, Batch:  340, Cur. Loss: 0.07348, Avg. Loss: 0.09986 val-loss: 0.089(MAE) 0.011(MAE-Smooth) 0.022(MSE)
